37,58,76
28,49,70
20,44,64
22,45,63
172,160,151
168,157,149
186,172,159
79,84,89
88,90,91
99,98,98
118,111,108
61,64,64
101,97,96
143,137,132
201,186,168
149,135,125
203,186,164
208,187,166
194,176,158
135,130,120
125,126,127
81,109,126
86,115,132
92,122,140
93,124,143
91,122,141
95,128,145
98,131,147
101,133,150
105,138,156
108,141,160
110,143,161
115,149,166
119,152,168
122,155,173
74,99,115
75,100,116
74,99,115
72,97,113
65,91,107
54,79,95
50,75,92
48,73,90
46,69,87
41,62,80
30,53,71
23,45,64
19,42,62
16,40,60
152,143,134
165,157,145
164,154,145
172,159,149
138,134,130
106,103,103
147,137,127
126,121,117
160,153,145
199,185,173
237,222,200
189,171,152
195,177,161
188,176,159
200,183,164
174,161,146
139,130,129
80,105,122
82,111,129
88,116,135
89,118,138
91,122,141
95,125,144
94,123,142
98,128,145
101,133,151
104,136,154
108,140,158
111,144,161
116,149,165
117,150,168
72,98,113
74,99,115
73,98,114
71,96,112
61,87,103
51,76,92
49,71,89
45,66,84
43,64,82
35,56,74
23,48,66
19,42,62
18,42,62
14,38,58
32,48,65
151,142,132
175,163,154
171,160,148
128,122,123
111,106,106
149,140,130
136,124,116
144,135,128
216,206,187
246,233,208
224,206,183
181,172,155
209,188,167
215,196,172
199,181,162
177,165,145
103,120,128
78,105,125
78,108,127
84,115,133
